6	33	24	0	2	14	12	21	16	22	26	17	18	10	3	36	20	15	33	8	31	19	11	32	6	0	29	4	26	29	40	39	35	23	4	38	9	25	26	36	13	
31	16	10	3	30	14	29	18	4	5	20	36	22	11	1	28	39	19	21	40	17	24	0	15	38	7	33	27	6	26	2	35	12	13	36	9	23	34	25	32	8	
38	28	19	13	39	14	24	23	35	32	40	27	34	15	21	0	11	8	2	7	9	6	26	30	1	33	17	5	25	20	10	35	18	2	12	16	22	37	4	29	31	
13	16	39	2	9	4	25	20	9	36	1	17	23	35	32	27	24	7	14	5	30	11	28	40	34	18	29	33	38	19	37	12	6	0	25	21	8	15	2	31	22	
19	25	8	26	17	7	13	39	23	33	32	5	35	39	0	24	30	4	21	22	12	3	36	15	34	27	28	9	1	31	36	20	14	11	6	38	16	28	2	10	18	
34	22	20	30	26	6	21	0	27	16	12	40	9	37	31	35	22	11	36	17	5	22	2	22	29	4	13	28	7	31	18	39	19	38	1	3	15	33	14	10	8	
25	6	24	21	1	31	14	20	34	3	29	14	8	19	17	16	38	5	22	28	23	35	8	35	37	13	4	27	0	11	2	39	26	31	30	40	12	10	18	6	33	
23	34	7	13	20	26	8	27	11	40	23	36	19	15	3	3	21	31	18	5	0	12	34	38	33	9	30	17	29	10	39	16	1	6	25	22	28	32	13	36	2	
31	36	17	2	39	35	23	31	6	28	3	8	40	1	7	0	20	12	18	27	22	4	29	26	30	10	16	15	37	13	31	25	21	11	5	19	9	34	23	13	38	
32	35	33	40	15	38	24	3	31	26	34	38	28	35	30	16	19	22	11	9	17	12	0	4	18	35	21	14	25	2	9	20	7	5	29	27	13	23	1	5	8	
0	17	13	8	17	32	27	0	2	11	31	28	14	38	10	22	33	36	7	4	9	40	20	26	39	16	12	25	29	23	3	29	5	17	37	24	5	35	34	21	15	
16	4	33	23	21	7	9	16	27	28	36	24	10	30	20	40	1	8	25	31	15	22	38	34	18	13	5	19	14	37	35	39	2	29	32	26	6	12	11	0	3	
