20.975	5
20.975	15
20.975	25
20.975	35
20.975	45
20.975	55
20.975	65
20.975	75
20.975	85
20.975	95
31.425	5
31.425	15
31.425	25
31.425	35
31.425	45
31.425	55
31.425	65
31.425	75
31.425	85
31.425	95
41.15	5
41.15	15
41.15	25
41.15	35
41.15	45
41.15	55
41.15	65
41.15	75
41.15	85
41.15	95
50.8	5
50.8	15
50.8	25
50.8	35
50.8	45
50.8	55
50.8	65
50.8	75
50.8	85
50.8	95
60.45	5
60.45	15
60.45	25
60.45	35
60.45	45
60.45	55
60.45	65
60.45	75
60.45	85
60.45	95
70.1	5
70.1	15
70.1	25
70.1	35
70.1	45
70.1	55
70.1	65
70.1	75
70.1	85
70.1	95
79.75	5
79.75	15
79.75	25
79.75	35
79.75	45
79.75	55
79.75	65
79.75	75
79.75	85
79.75	95
89.4	5
89.4	15
89.4	25
89.4	35
89.4	45
89.4	55
89.4	65
89.4	75
89.4	85
89.4	95
99.05	5
99.05	15
99.05	25
99.05	35
99.05	45
99.05	55
99.05	65
99.05	75
99.05	85
99.05	95
108.7	5
108.7	15
108.7	25
108.7	35
108.7	45
108.7	55
108.7	65
108.7	75
108.7	85
108.7	95
118.35	5
118.35	15
118.35	25
118.35	35
118.35	45
118.35	55
118.35	65
118.35	75
118.35	85
118.35	95
128	5
128	15
128	25
128	35
128	45
128	55
128	65
128	75
128	85
128	95
137.625	5
137.625	15
137.625	25
137.625	35
137.625	45
137.625	55
137.625	65
137.625	75
137.625	85
137.625	95
147.275	5
147.275	15
147.275	25
147.275	35
147.275	45
147.275	55
147.275	65
147.275	75
147.275	85
147.275	95
156.925	5
156.925	15
156.925	25
156.925	35
156.925	45
156.925	55
156.925	65
156.925	75
156.925	85
156.925	95
166.575	5
166.575	15
166.575	25
166.575	35
166.575	45
166.575	55
166.575	65
166.575	75
166.575	85
166.575	95
176.225	5
176.225	15
176.225	25
176.225	35
176.225	45
176.225	55
176.225	65
176.225	75
176.225	85
176.225	95
185.875	5
185.875	15
185.875	25
185.875	35
185.875	45
185.875	55
185.875	65
185.875	75
185.875	85
185.875	95
195.525	5
195.525	15
195.525	25
195.525	35
195.525	45
195.525	55
195.525	65
195.525	75
195.525	85
195.525	95
