52	8	15	9	65	84	70	4	54	74	
19	8	72	55	31	91	7	4	35	27	
66	17	94	12	12	14	9	96	43	12	
40	95	20	52	4	84	34	72	85	87	
45	1	93	14	56	23	1	61	25	35	
85	88	50	76	95	60	87	2	52	28	
13	87	21	29	37	19	8	67	87	89	
51	27	86	38	36	38	56	33	92	74	
63	72	56	7	43	47	60	25	44	7	
46	49	87	60	71	18	70	70	77	52	
52	20	70	31	50	99	59	96	23	43	
62	78	7	10	76	40	49	28	54	82	
26	91	23	4	40	82	10	0	43	78	
42	83	86	2	4	26	89	51	9	99	
84	62	68	78	61	33	6	96	47	47	
68	62	25	76	54	52	46	52	39	74	
18	66	45	90	53	34	1	29	70	97	
16	41	44	68	3	88	84	93	70	16	
28	22	64	37	80	2	72	10	38	95	
68	38	46	95	11	83	10	94	93	64	
75	91	87	1	40	73	71	6	49	24	
7	57	27	51	74	88	34	28	79	51	
3	27	70	28	2	60	89	94	36	64	
40	89	34	4	70	54	57	18	40	84	
23	25	18	27	53	71	91	65	75	47	
95	57	53	41	61	31	78	28	2	91	
70	18	58	81	99	3	9	32	98	25	
93	96	25	85	96	54	33	64	92	81	
87	61	12	14	76	48	20	29	50	95	
94	93	86	23	46	58	98	28	63	69	
26	27	39	24	85	6	49	88	43	11	
44	0	45	27	87	90	47	77	91	66	
43	55	30	98	49	45	26	16	44	58	
57	42	54	63	34	8	39	51	65	49	
32	78	19	47	72	75	5	85	18	63	
20	27	84	17	93	1	29	85	85	40	
11	7	47	31	37	45	5	43	62	37	
59	62	79	44	72	16	82	41	65	64	
69	51	58	17	30	13	81	23	64	28	
26	40	0	36	33	1	43	2	5	69	
1	25	92	43	30	24	19	73	25	47	
1	57	58	18	34	49	91	77	33	16	
69	19	16	29	14	10	89	17	71	53	
46	30	39	97	30	27	79	9	60	65	
14	18	79	28	95	72	35	46	6	25	
19	33	1	93	18	73	59	64	49	85	
75	52	73	69	4	60	53	37	23	70	
60	92	42	93	77	92	18	66	91	80	
46	66	67	2	12	40	28	23	57	31	
65	86	37	89	7	93	1	13	85	78	
35	96	22	31	39	49	74	11	66	17	
42	65	35	62	17	99	52	97	75	60	
79	89	97	65	28	53	9	80	17	42	
8	1	89	78	80	79	77	3	37	92	
71	29	7	53	39	71	99	39	14	20	
48	41	58	92	53	32	92	10	58	54	
99	11	2	35	35	26	59	59	77	42	
99	92	16	49	89	2	64	34	85	23	
1	78	10	2	12	6	79	48	60	81	
47	3	35	91	82	14	61	82	17	79	
67	59	13	26	49	44	69	55	21	94	
22	64	14	72	7	68	19	27	56	20	
48	43	66	24	75	86	80	74	7	35	
93	12	33	45	78	22	29	84	15	89	
17	75	92	70	85	37	75	40	1	68	
99	86	47	0	46	57	21	61	69	66	
35	99	16	5	79	28	61	45	47	13	
70	1	24	97	4	42	68	12	16	4	
14	50	25	96	83	4	88	39	0	90	
38	70	21	86	6	34	46	1	11	25	
46	14	57	1	41	92	74	41	37	23	
79	84	4	33	10	17	69	27	86	99	
47	53	1	98	68	35	62	45	65	2	
0	42	44	87	71	15	8	75	86	72	
28	92	85	59	51	23	5	49	77	19	
79	53	1	5	79	97	65	66	67	58	
95	95	27	65	6	25	5	39	26	17	
39	82	33	47	64	10	94	95	84	97	
38	88	73	61	15	76	84	5	65	73	
88	85	92	38	71	21	87	0	82	36	
41	43	39	95	13	26	27	30	41	33	
48	0	41	43	84	75	41	89	3	26	
83	10	32	95	68	24	35	75	44	37	
33	4	99	91	18	32	34	62	79	96	
17	47	15	76	7	17	71	64	22	91	
10	24	19	59	34	3	99	87	96	58	
41	44	79	56	51	12	5	1	89	99	
14	22	60	42	13	82	73	98	60	9	
3	85	46	34	57	96	51	70	97	61	
42	52	18	33	23	81	58	39	96	61	
51	21	95	24	75	18	18	59	28	91	
82	41	89	40	86	56	47	49	37	54	
21	90	18	48	35	49	40	2	98	46	
72	59	77	77	90	60	5	18	30	41	
20	20	91	16	68	87	80	23	43	24	
86	73	24	10	27	66	65	74	75	70	
29	56	35	11	38	32	75	47	55	12	
95	79	36	93	1	11	84	84	37	33	
16	27	10	42	41	41	13	9	18	90	
82	51	49	21	63	90	55	43	42	12	
57	39	94	96	35	95	8	20	80	47	
57	98	76	66	40	17	8	54	28	27	
46	12	78	95	32	42	85	87	83	28	
98	42	67	92	38	0	87	45	20	67	
90	74	64	65	38	2	80	44	54	7	
70	98	16	44	89	45	84	72	28	65	
96	24	2	59	11	37	54	92	76	68	
55	63	40	15	22	73	12	98	11	59	
99	74	51	7	14	35	47	92	0	67	
51	89	83	48	40	87	76	87	73	45	
51	23	99	81	28	15	45	30	3	46	
82	95	13	23	95	18	48	32	99	38	
90	41	19	64	77	50	43	42	26	4	
78	65	18	66	34	34	70	68	53	63	
4	24	46	4	35	28	10	69	47	97	
96	26	27	3	77	91	39	5	21	52	
99	85	3	1	38	24	22	92	79	60	
41	68	70	72	58	88	84	53	44	14	
37	24	26	46	11	85	22	33	76	25	
69	58	92	56	41	13	63	47	89	24	
89	13	74	40	67	12	10	32	46	35	
30	65	42	35	90	33	1	93	48	57	
99	98	94	72	33	16	65	76	42	33	
80	11	28	34	31	72	26	18	81	52	
33	90	94	51	3	64	62	81	34	86	
16	9	61	88	58	71	80	0	26	99	
11	81	86	13	91	93	62	91	87	19	
18	96	84	89	20	61	26	58	16	34	
19	8	19	55	69	52	99	24	26	97	
97	10	53	58	98	17	22	32	80	83	
24	73	51	81	33	44	13	32	73	2	
37	65	83	27	89	21	49	58	15	45	
27	85	27	51	13	94	37	6	96	86	
60	91	29	80	41	31	94	23	30	35	
96	37	67	46	31	22	33	49	50	18	
62	46	70	57	63	51	16	65	22	80	
17	50	38	13	95	43	9	54	30	4	
56	91	8	88	0	3	74	99	15	89	
82	43	99	16	62	24	29	43	52	17	
89	34	29	88	9	88	92	83	3	86	
52	22	41	20	71	3	86	8	63	63	
59	8	68	19	86	92	3	78	96	17	
56	45	11	46	91	81	93	44	24	57	
91	35	38	89	13	69	52	60	34	75	
